station;termin;nat_abbr;dkl010z0;fkl010z0;fkl010z1;fu3010z0;fu3010z1;fve010z0;gre000z0;oli000z0;pp0qffs0;pp0qnhs0;ppz700s0;ppz850s0;prestas0;pva200s0;rre150z0;sre000z0;tde200s0;tre005s0;tre200s0;ure200s0;wcc006s1
75;20230502101000;BAS;333;2.3;4.6;8.3;16.6;1.9;431;322;1022.3;1022.7;;;984.8;10.2;0.0;2;7.2;19.1;14.7;60.9;
75;20230502102000;BAS;8;1.6;4.1;5.8;14.8;1.2;685;312;1022.1;1022.7;;;984.8;11.0;0.0;7;8.3;21.7;16.0;60.4;
75;20230502103000;BAS;356;2.1;4.4;7.6;15.8;1.9;550;323;1022.2;1022.7;;;984.8;10.4;0.0;4;7.5;21.8;15.6;58.6;
75;20230502104000;BAS;338;2.1;6.0;7.6;21.6;1.7;635;334;1022.1;1022.6;;;984.7;10.8;0.0;5;8.1;23.4;15.5;61.2;
75;20230502105000;BAS;349;2.2;5.9;7.9;21.2;1.9;288;310;1022.0;1022.5;;;984.6;10.5;0.0;1;7.7;19.0;15.3;60.4;
75;20230502110000;BAS;350;2.0;5.4;7.2;19.4;1.7;491;310;1022.0;1022.5;;;984.6;10.2;0.0;3;7.3;20.0;15.5;57.9;
75;20230502111000;BAS;336;1.9;5.1;6.8;18.4;1.6;897;311;1021.8;1022.5;;;984.6;10.7;0.0;10;7.9;23.7;16.7;56.1;
75;20230502112000;BAS;344;1.9;4.5;6.8;16.2;1.5;777;313;1021.9;1022.5;;;984.6;10.3;0.0;7;7.3;25.3;16.4;55.0;
75;20230502113000;BAS;344;2.4;5.2;8.6;18.7;1.8;703;319;1021.8;1022.3;;;984.5;10.2;0.0;6;7.2;24.8;16.2;55.2;
75;20230502114000;BAS;335;2.2;4.2;7.9;15.1;1.6;693;316;1021.7;1022.3;;;984.5;10.1;0.0;6;7.1;23.4;16.7;53.1;
75;20230502115000;BAS;337;2.4;5.5;8.6;19.8;2.0;598;330;1021.6;1022.2;;;984.4;10.0;0.0;4;6.9;24.3;16.7;52.5;
75;20230502120000;BAS;351;1.8;3.8;6.5;13.7;1.5;417;318;1021.6;1022.2;;;984.4;10.7;0.0;3;8.0;20.8;16.7;56.3;
75;20230502121000;BAS;324;1.8;4.8;6.5;17.3;1.5;933;320;1021.4;1022.1;;;984.3;10.2;0.0;10;7.2;24.0;17.3;51.6;
75;20230502122000;BAS;20;1.8;4.7;6.5;16.9;1.4;569;327;1021.4;1022.1;;;984.3;10.6;0.0;4;7.8;24.8;17.3;53.7;
75;20230502123000;BAS;8;1.9;4.1;6.8;14.8;1.4;444;318;1021.4;1022.1;;;984.3;10.3;0.0;2;7.5;21.4;17.5;51.7;
75;20230502124000;BAS;344;2.0;4.2;7.2;15.1;1.6;720;311;1021.3;1022.1;;;984.3;10.4;0.0;7;7.5;23.0;18.3;49.4;
75;20230502125000;BAS;327;1.3;3.9;4.7;14.0;0.9;768;314;1021.4;1022.1;;;984.3;9.4;0.0;8;6.0;25.5;17.4;47.1;
75;20230502130000;BAS;349;2.1;4.5;7.6;16.2;1.7;802;310;1021.2;1022.0;;;984.2;9.1;0.0;9;5.7;26.3;18.2;43.8;
75;20230502131000;BAS;15;1.7;4.3;6.1;15.5;1.4;668;314;1021.2;1021.9;;;984.1;9.9;0.0;8;6.8;25.8;17.9;48.2;
75;20230502132000;BAS;23;1.3;3.3;4.7;11.9;0.6;736;315;1021.1;1021.9;;;984.1;10.5;0.0;8;7.6;25.5;18.6;48.8;
75;20230502133000;BAS;354;1.8;4.4;6.5;15.8;1.4;909;319;1021.1;1021.9;;;984.1;9.3;0.0;10;5.9;27.2;18.5;43.7;
75;20230502134000;BAS;31;1.6;4.3;5.8;15.5;1.2;906;325;1021.1;1021.9;;;984.1;9.8;0.0;10;6.7;28.1;18.7;45.6;
75;20230502135000;BAS;353;2.1;4.4;7.6;15.8;1.7;818;330;1021.0;1021.9;;;984.1;9.9;0.0;9;6.8;27.4;19.3;44.2;
75;20230502140000;BAS;332;2.7;4.8;9.7;17.3;2.4;663;323;1021.1;1021.8;;;984.0;8.8;0.0;7;5.1;26.9;17.8;43.0;
75;20230502141000;BAS;332;2.4;5.8;8.6;20.9;2.0;800;316;1020.9;1021.8;;;984.0;8.8;0.0;10;5.2;27.3;18.9;40.5;
75;20230502142000;BAS;1;2.0;5.9;7.2;21.2;1.4;754;309;1020.8;1021.7;;;983.9;8.9;0.0;10;5.3;27.4;19.1;40.3;
75;20230502143000;BAS;22;2.0;5.9;7.2;21.2;1.3;725;308;1020.9;1021.8;;;984.0;8.6;0.0;10;4.8;27.1;18.7;40.0;
75;20230502144000;BAS;349;2.0;4.7;7.2;16.9;1.7;734;314;1020.8;1021.8;;;984.0;9.8;0.0;10;6.8;27.4;19.9;42.4;
