station;termin;nat_abbr;fn1towd0;fu3towd0;fu3towd1;gre000d0;sre000d0;ta1towd0;ta1towdn;ta1towdx;uretowd0
392;20201110000000;UEB;0.5;12.6;23.0;100;363;8.6;6.6;10.3;77.1
392;20201111000000;UEB;-0.7;12.6;31.0;114;472;6.5;3.4;7.9;88.2
392;20201112000000;UEB;-4.1;24.8;54.0;103;312;7.5;4.5;9.7;82.2
392;20201113000000;UEB;-3.8;22.0;33.1;105;404;9.3;7.5;11.0;63.1
392;20201114000000;UEB;-2.6;17.3;37.4;108;527;9.9;8.7;11.7;60.8
392;20201115000000;UEB;-5.6;31.7;81.0;100;468;10.0;7.6;12.9;65.6
392;20201116000000;UEB;-5.0;37.4;83.9;59;116;5.3;3.9;8.0;89.5
392;20201117000000;UEB;-0.8;9.0;28.1;94;448;5.9;3.8;9.9;75.6
392;20201118000000;UEB;-4.4;27.7;68.8;105;524;10.4;6.3;13.2;45.5
392;20201119000000;UEB;-5.4;44.6;78.8;19;25;5.3;1.4;9.8;74.9
392;20201120000000;UEB;2.8;23.0;43.2;39;35;0.6;-1.1;2.2;85.0
392;20201121000000;UEB;;;;97;462;;;;
392;20201122000000;UEB;-0.4;6.1;16.6;90;373;5.9;3.8;7.8;20.9
392;20201123000000;UEB;0.1;20.5;38.9;74;292;4.0;2.3;5.2;52.8
392;20201124000000;UEB;-1.0;11.2;28.1;102;485;4.4;-0.2;6.8;54.9
392;20201125000000;UEB;-0.8;14.8;29.5;100;484;5.9;4.5;7.5;50.7
392;20201126000000;UEB;-1.8;10.4;24.8;97;478;6.2;4.5;7.6;47.9
392;20201127000000;UEB;-0.7;13.0;29.5;99;468;6.1;3.8;8.1;44.9
392;20201128000000;UEB;1.1;22.3;46.4;78;158;0.1;-3.5;7.6;79.8
392;20201129000000;UEB;3.5;28.8;42.5;12;0;-2.9;-4.2;-1.4;93.4
392;20201130000000;UEB;-2.0;15.5;43.9;13;0;-4.0;-5.0;-0.4;97.2
392;20201201000000;UEB;-2.4;28.1;68.0;12;0;-1.7;-4.0;0.8;95.9
392;20201202000000;UEB;2.6;20.5;46.1;9;0;-2.9;-4.2;-0.9;94.9
392;20201203000000;UEB;-4.0;23.0;51.1;60;239;-1.8;-3.7;2.3;75.7
392;20201204000000;UEB;-1.6;16.9;53.6;22;11;1.7;-1.1;5.5;66.2
392;20201205000000;UEB;-1.2;25.6;58.3;20;25;-0.3;-1.3;1.8;92.1
392;20201206000000;UEB;-1.0;16.9;38.9;18;10;-0.5;-1.3;0.4;95.8
392;20201207000000;UEB;-1.0;16.9;36.4;39;13;-1.1;-2.1;-0.5;93.4
392;20201208000000;UEB;-2.2;19.4;40.7;51;125;-1.0;-3.5;3.0;79.9
392;20201209000000;UEB;0.0;15.8;29.9;17;0;-2.3;-3.7;-1.0;97.3
392;20201210000000;UEB;-1.3;13.0;42.5;17;0;-3.6;-4.3;-2.5;95.5
